names
Λυκούδης Σπυρίδων Διονυσίου
Κουντουρά Έλενα Αλεξάνδρου
Γεωργιάδης Μάριος Νικολάου
ΣταματάκηΕλένη Παναγιώτη
Δουζίνας Κωνσταντίνος Ευαγγέλου
Γεννιά Γεωργία Σωκράτη
Κούζηλος Νικόλαος Παναγιώτη
Καρακώστα Ευαγγελία (Εύη)Ελευθερίου
Λαγός Ιωάννης Ευαγγέλου
Καμμένος Δημήτριος Κωνσταντίνου
Μεγαλοοικονόμου Θεοδώρα Πασχάλη
Μπαλτάς Αριστείδης Νικόλαος Δημήτριος Αλεξάνδρου
Πάντζας Γεώργιος Σπυρίδωνος Αριστοτέλη
Δέδες ΙωάννηςΓεωργίου
Κασιδιάρης Ηλίας Παναγιώτη
Χριστοφιλοπούλου Παρασκευή (Εύη) συζ. Δημητρίου
Μαυρωτάς Γεώργιος Παρασκευά
Κατσίκης Κωνσταντίνος Θεοδώρου
Καβαδέλλας Δημήτριος Γεωργίου
Τριανταφύλλου Μαρία Κωνσταντίνου
Μπαρμπαρούσης Κωνσταντίνος Ηλία
Μωραΐτης Νικόλαος Επαμεινώνδα
Μανιάτης Ιωάννης Αναστασίου
Τσίρκας Βασίλειος Δημητρίου
Σπαρτινός Κωνσταντίνος Νικολάου
Ριζούλης Ανδρέας Κωνσταντίνου
Παπαθεοδώρου Θεόδωρος Παναγιώτη
Νικολόπουλος Νικόλαος Ιωάννου
Θηβαίος Νικόλαος Γεωργίου
Καρακώστας Ευάγγελος Θεοδώρου
Μπγιάλας Χρήστος Αθανασίου
Καραγιαννίδης Χρήστος Γεωργίου
ΣαντορινιόςΝεκτάριος Κωνσταντίνου
Καματερός ΗλίαςΙωάννη
Κρεμαστινός Δημήτριος Θωμά
Καΐσας ΓεώργιοςΔημητρίου
ΡίζοςΔημήτριος Γεωργίου
Ακριώτης Γεώργιος Κυριάκου
Πρατσόλης Αναστάσιος (Τάσος) Κλεάνθη
Λιβανίου Ζωή Ευαγγέλου
Μίχος Νικόλαος Αντωνίου
Κοντονής Χαράλαμπος Σταύρος Νικολάου
Γεωργοπούλου Σαλτάρη Ευσταθία (Έφη) Ευσταθίου
ΜπαξεβανάκηςΔημήτριοςΣόλωνα
Μπαλαούρας ΓεράσιμοςΔημητρίου
Κουτσούκος Γιάννης Δημητρίου
Καρασαρλίδου Ευφροσύνη (Φρόσω)Γεωργίου
ΟυρσουζίδηςΓεώργιος Νικολάου
Αντωνίου Χρήστος Αθανασίου
Μιχελογιαννάκης Ιωάννης Δημητρίου
Δανέλλης Σπυρίδων Αθανασίου
Παρασκευόπουλος Νικόλαος Ανδρέα
Κουράκης Αναστάσιος (Τάσος) Στυλιανού
Μπόλαρης Μάρκος Ηλία
ΜηταφίδηςΤριαντάφυλλοςΑνδρέα
Γρέγος Αντώνιος Βασιλείου
